snap_index;snap_ts;price;bias;stage;result;reason;extra
713;2025-10-16T15:30:00Z;61.12;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
714;2025-10-16T15:35:00Z;61.09;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
714;2025-10-16T15:35:00Z;61.09;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
715;2025-10-16T15:40:00Z;61.08;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
715;2025-10-16T15:40:00Z;61.08;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
716;2025-10-16T15:45:00Z;61.08;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
716;2025-10-16T15:45:00Z;61.08;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
717;2025-10-16T15:50:00Z;61.0;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
717;2025-10-16T15:50:00Z;61.0;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
718;2025-10-16T15:55:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
718;2025-10-16T15:55:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
719;2025-10-16T16:00:00Z;61.02;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
719;2025-10-16T16:00:00Z;61.02;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
720;2025-10-16T16:05:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
720;2025-10-16T16:05:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
721;2025-10-16T16:10:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
721;2025-10-16T16:10:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
722;2025-10-16T16:15:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
722;2025-10-16T16:15:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
723;2025-10-16T16:20:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
723;2025-10-16T16:20:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
724;2025-10-16T16:35:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
724;2025-10-16T16:35:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=2.0, imp_atr=0.4655814315614974, imp_pct=0.2794214332675782
725;2025-10-16T16:40:00Z;61.04;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
