pk,ts,open,high,low,close,volume
BZ=F#1d,2025-06-10T00:00:00Z,67.11,68.0,66.48,66.87,40266
BZ=F#1d,2025-06-09T00:00:00Z,66.6,67.13,66.08,67.04,35213
BZ=F#1d,2025-06-06T00:00:00Z,65.2,66.67,64.82,66.47,39490
BZ=F#1d,2025-06-05T00:00:00Z,64.91,65.86,64.63,65.34,38658
BZ=F#1d,2025-06-04T00:00:00Z,65.61,65.96,64.28,64.86,56182
BZ=F#1d,2025-06-03T00:00:00Z,65.03,65.94,64.52,65.63,43536
BZ=F#1d,2025-06-02T00:00:00Z,63.04,65.71,62.97,64.63,57349
BZ=F#1d,2025-05-30T00:00:00Z,63.82,64.52,63.7,63.9,63546
BZ=F#1d,2025-05-29T00:00:00Z,65.3,66.13,63.78,64.15,10456
BZ=F#1d,2025-05-28T00:00:00Z,64.32,65.61,64.03,64.9,17817
BZ=F#1d,2025-05-27T00:00:00Z,65.02,65.41,63.47,64.09,34117
BZ=F#1d,2025-05-23T00:00:00Z,64.02,65.04,63.31,64.78,29810
BZ=F#1d,2025-05-22T00:00:00Z,64.64,65.02,63.53,64.44,45811
BZ=F#1d,2025-05-21T00:00:00Z,65.61,67.49,64.61,64.91,58658
BZ=F#1d,2025-05-20T00:00:00Z,65.57,66.0,64.85,65.38,42663
BZ=F#1d,2025-05-19T00:00:00Z,65.31,66.01,64.43,65.54,43539
BZ=F#1d,2025-05-16T00:00:00Z,64.63,65.54,64.17,65.41,38629
BZ=F#1d,2025-05-15T00:00:00Z,65.76,65.84,63.44,64.53,70642
BZ=F#1d,2025-05-14T00:00:00Z,66.52,66.59,65.68,66.09,49980
BZ=F#1d,2025-05-13T00:00:00Z,64.92,66.8,64.65,66.63,55567
BZ=F#1d,2025-05-12T00:00:00Z,64.23,66.38,63.89,64.96,62946
BZ=F#1d,2025-05-09T00:00:00Z,63.25,64.27,62.85,63.91,51994
BZ=F#1d,2025-05-08T00:00:00Z,60.93,63.21,60.78,62.84,56931
BZ=F#1d,2025-05-07T00:00:00Z,62.07,63.21,60.85,61.12,60579
BZ=F#1d,2025-05-06T00:00:00Z,60.28,62.8,60.19,62.15,63444
BZ=F#1d,2025-05-05T00:00:00Z,59.51,60.77,58.41,60.23,49504
BZ=F#1d,2025-05-02T00:00:00Z,61.88,62.72,60.7,61.29,58444
BZ=F#1d,2025-05-01T00:00:00Z,61.14,62.36,59.31,62.13,66984
BZ=F#1d,2025-04-30T00:00:00Z,63.55,63.75,63.0,63.12,79025
BZ=F#1d,2025-04-29T00:00:00Z,65.75,65.81,63.89,64.25,17528
BZ=F#1d,2025-04-28T00:00:00Z,67.21,67.53,65.25,65.86,21525
BZ=F#1d,2025-04-25T00:00:00Z,66.57,67.18,65.56,66.87,30729
BZ=F#1d,2025-04-24T00:00:00Z,66.22,67.03,65.81,66.55,36169
BZ=F#1d,2025-04-23T00:00:00Z,67.76,68.64,65.29,66.12,58914
BZ=F#1d,2025-04-22T00:00:00Z,66.6,68.04,66.55,67.44,46152
BZ=F#1d,2025-04-21T00:00:00Z,67.78,67.78,65.68,66.26,38512
BZ=F#1d,2025-04-17T00:00:00Z,66.01,68.13,65.95,67.96,39781
BZ=F#1d,2025-04-16T00:00:00Z,64.86,66.31,63.8,65.85,50308
BZ=F#1d,2025-04-15T00:00:00Z,64.93,65.39,64.23,64.67,40096
BZ=F#1d,2025-04-14T00:00:00Z,64.89,65.9,64.04,64.88,43786
BZ=F#1d,2025-04-11T00:00:00Z,63.45,65.05,62.76,64.76,58543
BZ=F#1d,2025-04-10T00:00:00Z,65.81,66.23,62.01,63.33,78111
BZ=F#1d,2025-04-09T00:00:00Z,61.55,66.02,58.39,65.48,127044
BZ=F#1d,2025-04-08T00:00:00Z,64.44,65.19,61.28,62.82,89690
BZ=F#1d,2025-04-07T00:00:00Z,64.79,67.41,62.51,64.21,114411
BZ=F#1d,2025-04-04T00:00:00Z,69.81,70.05,64.01,65.58,121211
BZ=F#1d,2025-04-03T00:00:00Z,73.59,73.62,69.47,70.14,100212
BZ=F#1d,2025-04-02T00:00:00Z,74.4,75.46,73.71,74.95,61062
BZ=F#1d,2025-04-01T00:00:00Z,74.63,75.28,74.34,74.49,54055
BZ=F#1d,2025-03-31T00:00:00Z,73.42,74.79,73.37,74.74,53426
BZ=F#1d,2025-03-28T00:00:00Z,74.06,74.21,73.12,73.63,12292
BZ=F#1d,2025-03-27T00:00:00Z,73.99,74.07,73.23,74.03,19183
BZ=F#1d,2025-03-26T00:00:00Z,73.18,74.17,73.09,73.79,27419
BZ=F#1d,2025-03-25T00:00:00Z,73.09,73.57,72.5,73.02,30415
BZ=F#1d,2025-03-24T00:00:00Z,72.2,73.16,71.8,73.0,31456
BZ=F#1d,2025-03-21T00:00:00Z,72.23,72.54,71.51,72.16,23983
BZ=F#1d,2025-03-20T00:00:00Z,70.86,72.29,70.53,72.0,33049
BZ=F#1d,2025-03-19T00:00:00Z,70.36,71.22,69.9,70.78,26898
BZ=F#1d,2025-03-18T00:00:00Z,70.93,72.19,70.26,70.56,32008
BZ=F#1d,2025-03-17T00:00:00Z,70.68,71.79,70.68,71.07,29314
BZ=F#1d,2025-03-14T00:00:00Z,70.08,70.75,69.94,70.58,24740
BZ=F#1d,2025-03-13T00:00:00Z,70.98,71.24,69.68,69.88,33450
BZ=F#1d,2025-03-12T00:00:00Z,69.85,71.09,69.47,70.95,30577
BZ=F#1d,2025-03-11T00:00:00Z,69.41,70.43,68.63,69.56,26933
BZ=F#1d,2025-03-10T00:00:00Z,70.44,70.86,69.06,69.28,33488
BZ=F#1d,2025-03-07T00:00:00Z,69.38,71.38,69.28,70.36,46468
BZ=F#1d,2025-03-06T00:00:00Z,69.45,69.88,68.73,69.46,49024
BZ=F#1d,2025-03-05T00:00:00Z,71.14,71.16,68.34,69.3,51721
BZ=F#1d,2025-03-04T00:00:00Z,71.45,71.46,69.75,71.04,58867
BZ=F#1d,2025-03-03T00:00:00Z,73.07,73.66,71.17,71.62,51816
BZ=F#1d,2025-02-28T00:00:00Z,73.73,73.74,72.97,73.18,36432
BZ=F#1d,2025-02-27T00:00:00Z,72.69,74.26,72.48,74.04,7925
BZ=F#1d,2025-02-26T00:00:00Z,73.14,73.34,72.39,72.53,11916
BZ=F#1d,2025-02-25T00:00:00Z,74.89,75.25,72.7,73.02,19080
BZ=F#1d,2025-02-24T00:00:00Z,73.91,74.91,73.91,74.78,17858
BZ=F#1d,2025-02-21T00:00:00Z,76.56,76.75,74.21,74.43,28100
BZ=F#1d,2025-02-20T00:00:00Z,76.04,77.14,75.71,76.48,33347
BZ=F#1d,2025-02-19T00:00:00Z,75.8,76.82,75.75,76.04,30426
BZ=F#1d,2025-02-18T00:00:00Z,74.64,76.05,74.19,75.84,50542
BZ=F#1d,2025-02-14T00:00:00Z,75.24,75.83,74.49,74.74,41397
BZ=F#1d,2025-02-13T00:00:00Z,74.97,75.33,74.05,75.02,37759
BZ=F#1d,2025-02-12T00:00:00Z,76.82,76.89,74.95,75.18,47048
BZ=F#1d,2025-02-11T00:00:00Z,76.05,77.27,75.89,77.0,37979
BZ=F#1d,2025-02-10T00:00:00Z,74.54,76.07,74.54,75.87,27341
BZ=F#1d,2025-02-07T00:00:00Z,74.2,75.09,74.19,74.66,35634
BZ=F#1d,2025-02-06T00:00:00Z,74.6,75.39,74.09,74.29,41460
BZ=F#1d,2025-02-05T00:00:00Z,76.08,76.35,74.55,74.61,30739
BZ=F#1d,2025-02-04T00:00:00Z,75.52,76.67,74.13,76.2,62716
BZ=F#1d,2025-02-03T00:00:00Z,76.82,77.53,75.04,75.96,75087
BZ=F#1d,2025-01-31T00:00:00Z,77.0,77.08,76.51,76.76,50618
BZ=F#1d,2025-01-30T00:00:00Z,76.86,77.55,75.99,76.87,8389
BZ=F#1d,2025-01-29T00:00:00Z,77.63,77.7,76.3,76.58,19845
BZ=F#1d,2025-01-28T00:00:00Z,77.07,78.14,76.83,77.49,29822
BZ=F#1d,2025-01-27T00:00:00Z,78.55,78.99,76.32,77.08,40623
BZ=F#1d,2025-01-24T00:00:00Z,77.88,78.96,77.61,78.5,30464
BZ=F#1d,2025-01-23T00:00:00Z,78.91,79.59,77.8,78.29,46348
BZ=F#1d,2025-01-22T00:00:00Z,79.31,79.9,78.81,79.0,40868
BZ=F#1d,2025-01-21T00:00:00Z,80.94,81.24,78.47,79.29,83935
BZ=F#1d,2025-01-17T00:00:00Z,81.31,81.93,80.56,80.79,42284
BZ=F#1d,2025-01-16T00:00:00Z,82.44,82.55,80.39,81.29,69075
